Vehicle Class,Coverage,Renew Offer Type,EmploymentStatus,Marital Status,Education,Number of Policies,Monthly Premium Auto,Total Claim Amount,Income,Customer Lifetime Value
Four-Door Car,Extended,Offer1,Retired,Divorced,High School or Below,2,90,571.479602,11828,10083.48688
Four-Door Car,Basic,Offer1,Employed,Married,College,6,62,114.51444,44762,4943.386117
Two-Door Car,Basic,Offer1,Retired,Married,Master,2,62,257.248789,21514,11981.98481
Four-Door Car,Premium,Offer3,Disabled,Married,High School or Below,1,116,556.8,17913,4550.856045
Two-Door Car,Basic,Offer3,Medical Leave,Married,High School or Below,1,62,355.820799,19030,2372.155492
SUV,Basic,Offer2,Employed,Married,Bachelor,8,107,85.063708,94389,8649.700578
Four-Door Car,Premium,Offer2,Employed,Married,High School or Below,2,101,584.567645,25419,12052.98409
Four-Door Car,Basic,Offer2,Employed,Married,College,1,66,144.987956,26477,2621.116054
Four-Door Car,Basic,Offer2,Employed,Married,Bachelor,5,65,264.563772,36615,5243.828046
Four-Door Car,Premium,Offer3,Employed,Divorced,College,3,117,582.781896,59624,9156.322563
Four-Door Car,Extended,Offer1,Employed,Married,Master,5,78,39.781368,37813,6259.510365
Four-Door Car,Basic,Offer1,Employed,Single,Bachelor,2,66,227.44626,35624,19237.77089
Four-Door Car,Basic,Offer1,Retired,Single,Bachelor,1,63,347.857619,24910,2248.449633
Two-Door Car,Basic,Offer2,Employed,Divorced,Master,3,70,239.328571,62739,5581.761298
Four-Door Car,Basic,Offer2,Retired,Divorced,Bachelor,1,71,340.8,18608,2538.62632
Two-Door Car,Basic,Offer2,Employed,Married,Bachelor,1,61,439.2,46210,2402.333284
Four-Door Car,Basic,Offer2,Unemployed,Married,Bachelor,7,64,307.2,0,4774.751709
SUV,Extended,Offer1,Unemployed,Single,College,1,129,1178.950186,0,4711.845199
SUV,Basic,Offer4,Disabled,Married,High School or Below,1,100,480,15192,3832.118106
Four-Door Car,Basic,Offer2,Employed,Married,Doctor,1,70,350.65008,50397,2813.50617
Four-Door Car,Basic,Offer3,Employed,Married,Doctor,1,68,51.961915,82210,2687.314108
SUV,Extended,Offer4,Unemployed,Single,Bachelor,1,126,907.2,0,4531.675269
Four-Door Car,Basic,Offer4,Employed,Married,College,1,64,423.787608,22538,2554.033928
Four-Door Car,Basic,Offer2,Employed,Single,College,4,71,234.683628,31614,5420.361822
Two-Door Car,Extended,Offer1,Unemployed,Divorced,Bachelor,5,95,456,0,6846.150323
SUV,Extended,Offer3,Employed,Married,College,3,128,614.4,78358,10307.65258
Four-Door Car,Basic,Offer4,Unemployed,Single,Bachelor,1,66,475.2,0,2239.647297
Four-Door Car,Extended,Offer1,Employed,Married,College,6,84,286.781601,36510,6721.893743
Sports Car,Extended,Offer1,Employed,Married,High School or Below,1,125,788.206874,51962,4804.35851
SUV,Extended,Offer1,Employed,Married,College,2,125,600,45345,14696.63549
Four-Door Car,Basic,Offer3,Employed,Married,Bachelor,8,68,265.877583,62039,5396.311664
SUV,Basic,Offer1,Employed,Married,Bachelor,2,107,513.6,66550,25674.14895
Two-Door Car,Extended,Offer1,Employed,Married,College,8,98,196.37368,71134,7708.883885
Four-Door Car,Basic,Offer2,Disabled,Divorced,High School or Below,2,65,312,26721,6747.524275
Two-Door Car,Extended,Offer2,Employed,Married,Bachelor,7,97,335.840529,66726,7661.388132
SUV,Extended,Offer1,Employed,Divorced,High School or Below,3,121,580.8,40672,9559.340024
Luxury SUV,Basic,Offer2,Unemployed,Single,High School or Below,1,192,1921.248929,0,6745.248379
Four-Door Car,Basic,Offer2,Employed,Married,High School or Below,2,69,331.2,44685,24723.18311
Four-Door Car,Basic,Offer3,Employed,Married,Bachelor,2,71,389.636991,78804,25763.41423
Two-Door Car,Extended,Offer3,Employed,Married,Master,7,83,229.620398,23616,6610.048274
Four-Door Car,Basic,Offer1,Employed,Single,Bachelor,1,72,159.266473,38667,2787.423683
Four-Door Car,Basic,Offer1,Employed,Single,Bachelor,1,68,291.91645,59961,2640.58732
Four-Door Car,Basic,Offer4,Employed,Married,Bachelor,1,67,321.6,57117,2656.99458
SUV,Basic,Offer1,Unemployed,Married,College,1,103,685.227276,0,3771.617797
Four-Door Car,Basic,Offer1,Unemployed,Divorced,High School or Below,1,74,355.2,0,2502.209885
Four-Door Car,Premium,Offer2,Employed,Married,College,1,103,616.005527,25221,3818.468252
Four-Door Car,Extended,Offer2,Employed,Divorced,Bachelor,2,89,395.729716,33806,27789.69235
Two-Door Car,Basic,Offer3,Employed,Married,College,1,63,302.4,46051,2489.337928
Two-Door Car,Extended,Offer2,Employed,Divorced,Master,1,86,287.5426,42526,3417.204953
SUV,Basic,Offer3,Employed,Married,Bachelor,7,110,528,43963,8673.587
SUV,Extended,Offer1,Employed,Divorced,College,1,124,282.500791,52819,4880.713626
Two-Door Car,Extended,Offer4,Employed,Single,Master,2,90,135.892444,50450,10640.93932
Four-Door Car,Basic,Offer2,Employed,Married,Bachelor,2,66,316.8,51972,7814.604545
Four-Door Car,Basic,Offer1,Unemployed,Single,High School or Below,4,73,525.6,0,5510.558964
SUV,Extended,Offer1,Unemployed,Single,College,2,126,604.8,0,13727.79972
Four-Door Car,Basic,Offer2,Employed,Married,High School or Below,1,65,312,72421,2592.437797
Luxury Car,Basic,Offer1,Employed,Married,Bachelor,8,191,981.010879,38183,15277.47796
Sports Car,Extended,Offer1,Unemployed,Single,Master,9,122,650.52179,0,9031.214859
Sports Car,Basic,Offer1,Medical Leave,Married,Bachelor,1,100,668.29397,20325,3803.921781
Four-Door Car,Extended,Offer4,Employed,Married,High School or Below,1,83,349.954886,51032,3339.853704
Four-Door Car,Basic,Offer4,Medical Leave,Married,College,1,72,345.6,20567,2449.128459
Four-Door Car,Basic,Offer1,Employed,Divorced,High School or Below,2,69,331.2,23671,8060.161694
